NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
SIGNALING BY NTRKS%REACTOME%R-HSA-166520.6	SIGNALING BY NTRKS%REACTOME%R-HSA-166520.6	Details ...	82	0.6998682	2.0221434	0.0	1.9223972E-4	0.002	1088	tags=33%, list=13%, signal=38%	
G ALPHA (S) SIGNALLING EVENTS%REACTOME DATABASE ID RELEASE 81%418555	G ALPHA (S) SIGNALLING EVENTS%REACTOME DATABASE ID RELEASE 81%418555	Details ...	44	0.76912725	2.0215647	0.0	1.7621974E-4	0.002	750	tags=34%, list=9%, signal=37%	
LPA RECEPTOR MEDIATED EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%LPA RECEPTOR MEDIATED EVENTS	LPA RECEPTOR MEDIATED EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%LPA RECEPTOR MEDIATED EVENTS	Details ...	38	0.8122662	2.0192275	0.0	1.6266438E-4	0.002	586	tags=39%, list=7%, signal=42%	
IL8- AND CXCR2-MEDIATED SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%IL8- AND CXCR2-MEDIATED SIGNALING EVENTS	IL8- AND CXCR2-MEDIATED SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%IL8- AND CXCR2-MEDIATED SIGNALING EVENTS	Details ...	28	0.83077043	2.0187516	0.0	1.510455E-4	0.002	263	tags=29%, list=3%, signal=29%	
PID_MET_PATHWAY%MSIGDB_C2%PID_MET_PATHWAY	PID_MET_PATHWAY%MSIGDB_C2%PID_MET_PATHWAY	Details ...	43	0.7798057	2.0172286	0.0	1.409758E-4	0.002	1014	tags=42%, list=12%, signal=48%	
ANGIOPOIETIN RECEPTOR TIE2-MEDIATED SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%ANGIOPOIETIN RECEPTOR TIE2-MEDIATED SIGNALING	ANGIOPOIETIN RECEPTOR TIE2-MEDIATED SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%ANGIOPOIETIN RECEPTOR TIE2-MEDIATED SIGNALING	Details ...	35	0.7846669	2.014471	0.0	1.3216482E-4	0.002	750	tags=37%, list=9%, signal=41%	
ANGIOGENESIS%PANTHER PATHWAY%P00005	ANGIOGENESIS%PANTHER PATHWAY%P00005	Details ...	85	0.69206023	2.009789	0.0	1.8601309E-4	0.003	733	tags=25%, list=9%, signal=27%	
INTEGRIN SIGNALLING PATHWAY%PANTHER PATHWAY%P00034	INTEGRIN SIGNALLING PATHWAY%PANTHER PATHWAY%P00034	Details ...	95	0.68351513	2.0056539	0.0	2.3575635E-4	0.004	1157	tags=35%, list=14%, signal=40%	
SIGNALING EVENTS MEDIATED BY VEGFR1 AND VEGFR2%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%SIGNALING EVENTS MEDIATED BY VEGFR1 AND VEGFR2	SIGNALING EVENTS MEDIATED BY VEGFR1 AND VEGFR2%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%SIGNALING EVENTS MEDIATED BY VEGFR1 AND VEGFR2	Details ...	58	0.7286379	2.0052366	0.0	2.2334812E-4	0.004	1030	tags=40%, list=13%, signal=45%	
INTEGRIN MEDIATED CELL ADHESION%WIKIPATHWAYS_20240310%WP185%HOMO SAPIENS	INTEGRIN MEDIATED CELL ADHESION%WIKIPATHWAYS_20240310%WP185%HOMO SAPIENS	Details ...	53	0.72831476	2.0015948	0.0	2.6559902E-4	0.005	1014	tags=40%, list=12%, signal=45%	
GASTRIN_CCK2R_240212%PANTHER PATHWAY%P06959	GASTRIN_CCK2R_240212%PANTHER PATHWAY%P06959		99	0.6785728	1.9949154	0.0	2.5295146E-4	0.005	1157	tags=34%, list=14%, signal=40%	
ADENYLATE CYCLASE-MODULATING G PROTEIN-COUPLED RECEPTOR SIGNALING PATHWAY%GOBP%GO:0007188	ADENYLATE CYCLASE-MODULATING G PROTEIN-COUPLED RECEPTOR SIGNALING PATHWAY%GOBP%GO:0007188		35	0.78274584	1.9911199	0.0	3.8404323E-4	0.008	665	tags=37%, list=8%, signal=40%	
PID_TXA2PATHWAY%MSIGDB_C2%PID_TXA2PATHWAY	PID_TXA2PATHWAY%MSIGDB_C2%PID_TXA2PATHWAY		28	0.82251114	1.9793848	0.0	5.9744227E-4	0.013	749	tags=43%, list=9%, signal=47%	
NONGENOTROPIC ANDROGEN SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%NONGENOTROPIC ANDROGEN SIGNALING	NONGENOTROPIC ANDROGEN SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%NONGENOTROPIC ANDROGEN SIGNALING		27	0.8024777	1.9751275	0.0	6.60346E-4	0.015	602	tags=37%, list=7%, signal=40%	
SIGNALING EVENTS MEDIATED BY HEPATOCYTE GROWTH FACTOR RECEPTOR (C-MET)%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%SIGNALING EVENTS MEDIATED BY HEPATOCYTE GROWTH FACTOR RECEPTOR (C-MET)	SIGNALING EVENTS MEDIATED BY HEPATOCYTE GROWTH FACTOR RECEPTOR (C-MET)%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%SIGNALING EVENTS MEDIATED BY HEPATOCYTE GROWTH FACTOR RECEPTOR (C-MET)		61	0.71939445	1.9745959	0.0	6.339322E-4	0.015	1119	tags=36%, list=14%, signal=41%	
SIGNALING BY SCF-KIT%REACTOME DATABASE ID RELEASE 81%1433557	SIGNALING BY SCF-KIT%REACTOME DATABASE ID RELEASE 81%1433557		28	0.80508065	1.974453	0.0	6.0955016E-4	0.015	832	tags=39%, list=10%, signal=44%	
ENDOTHELINS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%ENDOTHELINS	ENDOTHELINS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%ENDOTHELINS		39	0.7738518	1.9729989	0.0	6.659169E-4	0.017	864	tags=46%, list=11%, signal=51%	
EGF EGFR SIGNALING PATHWAY%WIKIPATHWAYS_20240310%WP437%HOMO SAPIENS	EGF EGFR SIGNALING PATHWAY%WIKIPATHWAYS_20240310%WP437%HOMO SAPIENS		91	0.6791599	1.9637967	0.0	8.3226437E-4	0.021	1149	tags=35%, list=14%, signal=40%	
IL8- AND CXCR1-MEDIATED SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%IL8- AND CXCR1-MEDIATED SIGNALING EVENTS	IL8- AND CXCR1-MEDIATED SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%IL8- AND CXCR1-MEDIATED SIGNALING EVENTS		21	0.8558211	1.96174	0.0	8.3967677E-4	0.022	263	tags=38%, list=3%, signal=39%	
MICRORNAS IN CARDIOMYOCYTE HYPERTROPHY%WIKIPATHWAYS_20240310%WP1544%HOMO SAPIENS	MICRORNAS IN CARDIOMYOCYTE HYPERTROPHY%WIKIPATHWAYS_20240310%WP1544%HOMO SAPIENS		41	0.76372814	1.9613746	0.0	8.1168755E-4	0.022	1418	tags=51%, list=17%, signal=62%	
NEURONAL SYSTEM%REACTOME DATABASE ID RELEASE 81%112316	NEURONAL SYSTEM%REACTOME DATABASE ID RELEASE 81%112316		105	0.6673882	1.9602793	0.0	7.855041E-4	0.022	1375	tags=36%, list=17%, signal=43%	
CORTICOTROPIN RELEASING HORMONE SIGNALING PATHWAY%WIKIPATHWAYS_20240310%WP2355%HOMO SAPIENS	CORTICOTROPIN RELEASING HORMONE SIGNALING PATHWAY%WIKIPATHWAYS_20240310%WP2355%HOMO SAPIENS		43	0.7462829	1.9601879	0.0	7.6095713E-4	0.022	864	tags=33%, list=11%, signal=36%	
ERBB SIGNALING PATHWAY%WIKIPATHWAYS_20240310%WP673%HOMO SAPIENS	ERBB SIGNALING PATHWAY%WIKIPATHWAYS_20240310%WP673%HOMO SAPIENS		47	0.7427557	1.9542595	0.0	7.703646E-4	0.023	1014	tags=36%, list=12%, signal=41%	
EGF RECEPTOR SIGNALING PATHWAY%PANTHER PATHWAY%P00018	EGF RECEPTOR SIGNALING PATHWAY%PANTHER PATHWAY%P00018		61	0.7042645	1.9532981	0.0	7.7911816E-4	0.024	864	tags=30%, list=11%, signal=33%	
G ALPHA (Z) SIGNALLING EVENTS%REACTOME DATABASE ID RELEASE 81%418597	G ALPHA (Z) SIGNALLING EVENTS%REACTOME DATABASE ID RELEASE 81%418597		24	0.83195126	1.9502292	0.0	8.168765E-4	0.026	516	tags=33%, list=6%, signal=35%	
PID_VEGFR1_2_PATHWAY%MSIGDB_C2%PID_VEGFR1_2_PATHWAY	PID_VEGFR1_2_PATHWAY%MSIGDB_C2%PID_VEGFR1_2_PATHWAY		45	0.7399673	1.9497372	0.0	8.233967E-4	0.027	1014	tags=38%, list=12%, signal=43%	
SIGNALING EVENTS MEDIATED BY PTP1B%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%SIGNALING EVENTS MEDIATED BY PTP1B	SIGNALING EVENTS MEDIATED BY PTP1B%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%SIGNALING EVENTS MEDIATED BY PTP1B		36	0.76227367	1.9484814	0.0	8.5851696E-4	0.029	1149	tags=42%, list=14%, signal=48%	
SIGNALING BY PDGF%REACTOME%R-HSA-186797.6	SIGNALING BY PDGF%REACTOME%R-HSA-186797.6		26	0.8159608	1.9441692	0.0	0.001085963	0.038	1072	tags=50%, list=13%, signal=57%	
IL 1 SIGNALING PATHWAY%WIKIPATHWAYS_20240310%WP195%HOMO SAPIENS	IL 1 SIGNALING PATHWAY%WIKIPATHWAYS_20240310%WP195%HOMO SAPIENS		34	0.7676551	1.9391717	0.0	0.0012484889	0.045	808	tags=35%, list=10%, signal=39%	
ENZYME-LINKED RECEPTOR PROTEIN SIGNALING PATHWAY%GOBP%GO:0007167	ENZYME-LINKED RECEPTOR PROTEIN SIGNALING PATHWAY%GOBP%GO:0007167		191	0.6087988	1.9391669	0.0	0.0012172767	0.045	1090	tags=29%, list=13%, signal=33%	
HEDGEHOG SIGNALING EVENTS MEDIATED BY GLI PROTEINS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%HEDGEHOG SIGNALING EVENTS MEDIATED BY GLI PROTEINS	HEDGEHOG SIGNALING EVENTS MEDIATED BY GLI PROTEINS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%HEDGEHOG SIGNALING EVENTS MEDIATED BY GLI PROTEINS		37	0.75435936	1.9388924	0.0	0.001187587	0.045	602	tags=27%, list=7%, signal=29%	
OPIOID SIGNALLING%REACTOME DATABASE ID RELEASE 81%111885	OPIOID SIGNALLING%REACTOME DATABASE ID RELEASE 81%111885		54	0.710444	1.9383689	0.0	0.0011843756	0.046	461	tags=19%, list=6%, signal=19%	
BIOCARTA_INTEGRIN_PATHWAY%MSIGDB_C2%BIOCARTA_INTEGRIN_PATHWAY	BIOCARTA_INTEGRIN_PATHWAY%MSIGDB_C2%BIOCARTA_INTEGRIN_PATHWAY		23	0.83084726	1.937145	0.0	0.0011814943	0.047	1014	tags=65%, list=12%, signal=74%	
G PROTEIN-COUPLED RECEPTOR SIGNALING PATHWAY%GOBP%GO:0007186	G PROTEIN-COUPLED RECEPTOR SIGNALING PATHWAY%GOBP%GO:0007186		136	0.6363936	1.9369091	0.0	0.0011546421	0.047	682	tags=25%, list=8%, signal=27%	
NEUROTRANSMITTER RECEPTORS AND POSTSYNAPTIC SIGNAL TRANSMISSION%REACTOME%R-HSA-112314.10	NEUROTRANSMITTER RECEPTORS AND POSTSYNAPTIC SIGNAL TRANSMISSION%REACTOME%R-HSA-112314.10		62	0.6911127	1.929842	0.0	0.0014580586	0.06	1290	tags=32%, list=16%, signal=38%	
TRANSFORMING GROWTH FACTOR BETA RECEPTOR SIGNALING PATHWAY%GOBP%GO:0007179	TRANSFORMING GROWTH FACTOR BETA RECEPTOR SIGNALING PATHWAY%GOBP%GO:0007179		39	0.746078	1.9281726	0.0	0.0014491829	0.061	1090	tags=41%, list=13%, signal=47%	
EXTRA-NUCLEAR ESTROGEN SIGNALING%REACTOME DATABASE ID RELEASE 81%9009391	EXTRA-NUCLEAR ESTROGEN SIGNALING%REACTOME DATABASE ID RELEASE 81%9009391		42	0.7297487	1.9255568	0.0	0.0015078489	0.065	543	tags=26%, list=7%, signal=28%	
PID_IL8_CXCR2_PATHWAY%MSIGDB_C2%PID_IL8_CXCR2_PATHWAY	PID_IL8_CXCR2_PATHWAY%MSIGDB_C2%PID_IL8_CXCR2_PATHWAY		20	0.8445648	1.9237679	0.0	0.0015203677	0.067	99	tags=25%, list=1%, signal=25%	
THYROTROPIN-RELEASING HORMONE RECEPTOR SIGNALING PATHWAY%PANTHER PATHWAY%P04394	THYROTROPIN-RELEASING HORMONE RECEPTOR SIGNALING PATHWAY%PANTHER PATHWAY%P04394		28	0.78999496	1.922519	0.0	0.0015330781	0.069	461	tags=25%, list=6%, signal=26%	
PI3 KINASE PATHWAY%PANTHER PATHWAY%P00048	PI3 KINASE PATHWAY%PANTHER PATHWAY%P00048		29	0.7843963	1.9220258	0.0	0.0015234561	0.07	586	tags=24%, list=7%, signal=26%	
EPHRIN B REVERSE SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%EPHRIN B REVERSE SIGNALING	EPHRIN B REVERSE SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%EPHRIN B REVERSE SIGNALING		21	0.8360053	1.9163861	0.0	0.001699693	0.08	911	tags=48%, list=11%, signal=53%	
SIGNALING BY VEGF%REACTOME%R-HSA-194138.4	SIGNALING BY VEGF%REACTOME%R-HSA-194138.4		78	0.6627295	1.9160812	0.0	0.0016670066	0.08	1347	tags=33%, list=16%, signal=40%	
SYNAPTIC VESICLE ENDOCYTOSIS%GOBP%GO:0048488	SYNAPTIC VESICLE ENDOCYTOSIS%GOBP%GO:0048488		26	0.7981646	1.9126418	0.0	0.00175485	0.085	263	tags=19%, list=3%, signal=20%	
IL6 SIGNALING PATHWAY%WIKIPATHWAYS_20240310%WP364%HOMO SAPIENS	IL6 SIGNALING PATHWAY%WIKIPATHWAYS_20240310%WP364%HOMO SAPIENS		29	0.7826938	1.9116714	0.0	0.001741599	0.086	1014	tags=45%, list=12%, signal=51%	
RESPONSE TO GROWTH HORMONE%GOBP%GO:0060416	RESPONSE TO GROWTH HORMONE%GOBP%GO:0060416		15	0.8829172	1.9093959	0.0	0.0017868775	0.089	838	tags=67%, list=10%, signal=74%	
UNTITLED%PANTHER PATHWAY%P00019	UNTITLED%PANTHER PATHWAY%P00019		32	0.77352273	1.9064317	0.0	0.0018872898	0.095	1229	tags=47%, list=15%, signal=55%	
PROTEIN LOCALIZATION TO PLASMA MEMBRANE%GOBP%GO:0072659	PROTEIN LOCALIZATION TO PLASMA MEMBRANE%GOBP%GO:0072659		98	0.6540344	1.9045916	0.0	0.0019097975	0.098	1160	tags=32%, list=14%, signal=36%	
VEGF SIGNALING PATHWAY%PANTHER PATHWAY%P00056	VEGF SIGNALING PATHWAY%PANTHER PATHWAY%P00056		44	0.7174199	1.9030749	0.0	0.0019498398	0.102	1072	tags=32%, list=13%, signal=36%	
PHOSPHOLIPID METABOLISM%REACTOME DATABASE ID RELEASE 81%1483257	PHOSPHOLIPID METABOLISM%REACTOME DATABASE ID RELEASE 81%1483257		125	0.62641543	1.9014815	0.0	0.0019703156	0.105	1501	tags=36%, list=18%, signal=43%	
REGULATION OF PLASMA LIPOPROTEIN PARTICLE LEVELS%GOBP%GO:0097006	REGULATION OF PLASMA LIPOPROTEIN PARTICLE LEVELS%GOBP%GO:0097006		20	0.84819734	1.8997918	0.0	0.002007999	0.108	214	tags=20%, list=3%, signal=20%	
VEGFA-VEGFR2 PATHWAY%REACTOME DATABASE ID RELEASE 81%4420097	VEGFA-VEGFR2 PATHWAY%REACTOME DATABASE ID RELEASE 81%4420097		74	0.66811466	1.898543	0.0	0.002009574	0.11	1347	tags=32%, list=16%, signal=38%	
PLATELET ACTIVATION, SIGNALING AND AGGREGATION%REACTOME DATABASE ID RELEASE 81%76002	PLATELET ACTIVATION, SIGNALING AND AGGREGATION%REACTOME DATABASE ID RELEASE 81%76002		175	0.6070639	1.8976885	0.0	0.0020450084	0.114	1587	tags=41%, list=19%, signal=50%	
IL 3 SIGNALING PATHWAY%WIKIPATHWAYS_20240310%WP286%HOMO SAPIENS	IL 3 SIGNALING PATHWAY%WIKIPATHWAYS_20240310%WP286%HOMO SAPIENS		35	0.7612022	1.8976513	0.0	0.0020125478	0.114	1014	tags=49%, list=12%, signal=55%	
FC EPSILON RECEPTOR I SIGNALING IN MAST CELLS%SMPDB%SMP0000358	FC EPSILON RECEPTOR I SIGNALING IN MAST CELLS%SMPDB%SMP0000358		32	0.76818544	1.8955245	0.0	0.002030616	0.117	1014	tags=44%, list=12%, signal=50%	
TRANSFORMING GROWTH FACTOR BETA RECEPTOR SUPERFAMILY SIGNALING PATHWAY%GOBP%GO:0141091	TRANSFORMING GROWTH FACTOR BETA RECEPTOR SUPERFAMILY SIGNALING PATHWAY%GOBP%GO:0141091		48	0.7150447	1.8919622	0.0	0.0022108532	0.128	1090	tags=38%, list=13%, signal=43%	
PNAT%PANTHER PATHWAY%P05912	PNAT%PANTHER PATHWAY%P05912		26	0.8032039	1.8907096	0.0	0.002225391	0.131	738	tags=35%, list=9%, signal=38%	
MAPK SIGNALING PATHWAY%WIKIPATHWAYS_20240310%WP382%HOMO SAPIENS	MAPK SIGNALING PATHWAY%WIKIPATHWAYS_20240310%WP382%HOMO SAPIENS		98	0.643496	1.8902379	0.0	0.0021921762	0.131	1149	tags=31%, list=14%, signal=35%	
TRANSMEMBRANE RECEPTOR PROTEIN SERINE/THREONINE KINASE SIGNALING PATHWAY%GOBP%GO:0007178	TRANSMEMBRANE RECEPTOR PROTEIN SERINE/THREONINE KINASE SIGNALING PATHWAY%GOBP%GO:0007178		50	0.7074118	1.890004	0.0	0.0021599382	0.131	1090	tags=36%, list=13%, signal=41%	
INTEGRATION OF ENERGY METABOLISM%REACTOME%R-HSA-163685.5	INTEGRATION OF ENERGY METABOLISM%REACTOME%R-HSA-163685.5		53	0.7049109	1.888738	0.0	0.0021739954	0.133	1229	tags=36%, list=15%, signal=42%	
S1P3 PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%S1P3 PATHWAY	S1P3 PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%S1P3 PATHWAY		19	0.8442106	1.8882825	0.0	0.0021429383	0.133	516	tags=47%, list=6%, signal=50%	
SYNAPTIC SIGNALING%GOBP%GO:0099536	SYNAPTIC SIGNALING%GOBP%GO:0099536		79	0.6581382	1.8876257	0.0	0.0021420722	0.135	1302	tags=33%, list=16%, signal=39%	
FGF SIGNALING PATHWAY%PANTHER PATHWAY%P00021	FGF SIGNALING PATHWAY%PANTHER PATHWAY%P00021		46	0.7205023	1.887533	0.0	0.0021123213	0.135	864	tags=30%, list=11%, signal=34%	
VASCULAR PROCESS IN CIRCULATORY SYSTEM%GOBP%GO:0003018	VASCULAR PROCESS IN CIRCULATORY SYSTEM%GOBP%GO:0003018		66	0.6719042	1.8871105	0.0	0.0020833851	0.135	1143	tags=36%, list=14%, signal=42%	
BIOCARTA_PYK2_PATHWAY%MSIGDB_C2%BIOCARTA_PYK2_PATHWAY	BIOCARTA_PYK2_PATHWAY%MSIGDB_C2%BIOCARTA_PYK2_PATHWAY		21	0.8196393	1.8866588	0.0	0.002069462	0.136	1014	tags=52%, list=12%, signal=60%	
DOWNSTREAM SIGNAL TRANSDUCTION%REACTOME DATABASE ID RELEASE 81%186763	DOWNSTREAM SIGNAL TRANSDUCTION%REACTOME DATABASE ID RELEASE 81%186763		21	0.83092564	1.8855808	0.0017211704	0.0020701638	0.138	691	tags=38%, list=8%, signal=41%	
CARDIAC HYPERTROPHIC RESPONSE%WIKIPATHWAYS_20240310%WP2795%HOMO SAPIENS	CARDIAC HYPERTROPHIC RESPONSE%WIKIPATHWAYS_20240310%WP2795%HOMO SAPIENS		34	0.7405657	1.885441	0.0016	0.0020568834	0.138	1418	tags=50%, list=17%, signal=60%	
REGULATION OF CELL JUNCTION ASSEMBLY%GOBP%GO:1901888	REGULATION OF CELL JUNCTION ASSEMBLY%GOBP%GO:1901888		57	0.6859404	1.8846391	0.0	0.0020577062	0.14	1501	tags=44%, list=18%, signal=53%	
BIOCARTA_MAPK_PATHWAY%MSIGDB_C2%BIOCARTA_MAPK_PATHWAY	BIOCARTA_MAPK_PATHWAY%MSIGDB_C2%BIOCARTA_MAPK_PATHWAY		54	0.68948925	1.8838668	0.0	0.002044798	0.141	1126	tags=33%, list=14%, signal=38%	
PRESYNAPTIC ENDOCYTOSIS%GOBP%GO:0140238	PRESYNAPTIC ENDOCYTOSIS%GOBP%GO:0140238		26	0.7981646	1.8831745	0.0	0.0020855349	0.144	263	tags=19%, list=3%, signal=20%	
CELLULAR RESPONSE TO TRANSFORMING GROWTH FACTOR BETA STIMULUS%GOBP%GO:0071560	CELLULAR RESPONSE TO TRANSFORMING GROWTH FACTOR BETA STIMULUS%GOBP%GO:0071560		48	0.70544654	1.8811227	0.0	0.002217719	0.152	750	tags=31%, list=9%, signal=34%	
CXCR3-MEDIATED SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%CXCR3-MEDIATED SIGNALING EVENTS	CXCR3-MEDIATED SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%CXCR3-MEDIATED SIGNALING EVENTS		31	0.76291674	1.8782781	0.0015625	0.002399068	0.165	949	tags=45%, list=12%, signal=51%	
CELLULAR RESPONSE TO GROWTH FACTOR STIMULUS%GOBP%GO:0071363	CELLULAR RESPONSE TO GROWTH FACTOR STIMULUS%GOBP%GO:0071363		126	0.6214848	1.8776786	0.0	0.0023953763	0.166	1090	tags=30%, list=13%, signal=34%	
PID_ANGIOPOIETIN_RECEPTOR_PATHWAY%MSIGDB_C2%PID_ANGIOPOIETIN_RECEPTOR_PATHWAY	PID_ANGIOPOIETIN_RECEPTOR_PATHWAY%MSIGDB_C2%PID_ANGIOPOIETIN_RECEPTOR_PATHWAY		25	0.7950972	1.8759143	0.0	0.0024928916	0.176	1014	tags=40%, list=12%, signal=46%	
RESPONSE TO GROWTH FACTOR%GOBP%GO:0070848	RESPONSE TO GROWTH FACTOR%GOBP%GO:0070848		135	0.61263144	1.8752666	0.0	0.0024881572	0.178	1090	tags=30%, list=13%, signal=34%	
PID_ENDOTHELIN_PATHWAY%MSIGDB_C2%PID_ENDOTHELIN_PATHWAY	PID_ENDOTHELIN_PATHWAY%MSIGDB_C2%PID_ENDOTHELIN_PATHWAY		28	0.7616308	1.8739555	0.0017211704	0.0025705146	0.185	864	tags=43%, list=11%, signal=48%	
PID_THROMBIN_PAR1_PATHWAY%MSIGDB_C2%PID_THROMBIN_PAR1_PATHWAY	PID_THROMBIN_PAR1_PATHWAY%MSIGDB_C2%PID_THROMBIN_PAR1_PATHWAY		23	0.8065798	1.8732792	0.0	0.002577077	0.188	728	tags=39%, list=9%, signal=43%	
SIGNALING BY GPCR%REACTOME%R-HSA-372790.7	SIGNALING BY GPCR%REACTOME%R-HSA-372790.7		189	0.5958894	1.8730526	0.0	0.0025717106	0.189	1569	tags=33%, list=19%, signal=40%	
GNRH SIGNALING PATHWAY%PATHWHIZ%PW064816	GNRH SIGNALING PATHWAY%PATHWHIZ%PW064816		22	0.82261556	1.8728417	0.0	0.002554362	0.19	1014	tags=55%, list=12%, signal=62%	
