NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
SRP-DEPENDENT COTRANSLATIONAL PROTEIN TARGETING TO MEMBRANE%REACTOME%R-HSA-1799339.4	SRP-DEPENDENT COTRANSLATIONAL PROTEIN TARGETING TO MEMBRANE%REACTOME%R-HSA-1799339.4	Details ...	100	-0.87855047	-3.0142345	0.0	0.0	0.0	458	tags=74%, list=6%, signal=77%	
PROTEIN SYNTHESIS: ARGININE%SMPDB%SMP0111853	PROTEIN SYNTHESIS: ARGININE%SMPDB%SMP0111853	Details ...	73	-0.9274566	-3.0137634	0.0	0.0	0.0	439	tags=92%, list=5%, signal=96%	
PROTEIN SYNTHESIS: ASPARTIC ACID%SMPDB%SMP0111858	PROTEIN SYNTHESIS: ASPARTIC ACID%SMPDB%SMP0111858	Details ...	73	-0.9274566	-3.0108342	0.0	0.0	0.0	439	tags=92%, list=5%, signal=96%	
PROTEIN SYNTHESIS: CYSTEINE%PATHWHIZ%PW112918	PROTEIN SYNTHESIS: CYSTEINE%PATHWHIZ%PW112918	Details ...	73	-0.9274566	-3.010309	0.0	0.0	0.0	439	tags=92%, list=5%, signal=96%	
PEPTIDE CHAIN ELONGATION%REACTOME%R-HSA-156902.4	PEPTIDE CHAIN ELONGATION%REACTOME%R-HSA-156902.4		79	-0.90886027	-3.0078275	0.0	0.0	0.0	439	tags=86%, list=5%, signal=90%	
GTP HYDROLYSIS AND JOINING OF THE 60S RIBOSOMAL SUBUNIT%REACTOME%R-HSA-72706.4	GTP HYDROLYSIS AND JOINING OF THE 60S RIBOSOMAL SUBUNIT%REACTOME%R-HSA-72706.4		101	-0.88242763	-3.007256	0.0	0.0	0.0	478	tags=78%, list=6%, signal=82%	
PROTEIN SYNTHESIS: GLUTAMIC ACID%PATHWHIZ%PW112922	PROTEIN SYNTHESIS: GLUTAMIC ACID%PATHWHIZ%PW112922		73	-0.9274566	-3.0068853	0.0	0.0	0.0	439	tags=92%, list=5%, signal=96%	
RESPONSE OF EIF2AK4 (GCN2) TO AMINO ACID DEFICIENCY%REACTOME%R-HSA-9633012.4	RESPONSE OF EIF2AK4 (GCN2) TO AMINO ACID DEFICIENCY%REACTOME%R-HSA-9633012.4		86	-0.89696234	-3.0068328	0.0	0.0	0.0	439	tags=79%, list=5%, signal=83%	
PROTEIN SYNTHESIS: TRYPTOPHAN%PATHWHIZ%PW120526	PROTEIN SYNTHESIS: TRYPTOPHAN%PATHWHIZ%PW120526		73	-0.9274566	-3.0047503	0.0	0.0	0.0	439	tags=92%, list=5%, signal=96%	
VIRAL MRNA TRANSLATION%REACTOME DATABASE ID RELEASE 81%192823	VIRAL MRNA TRANSLATION%REACTOME DATABASE ID RELEASE 81%192823		79	-0.9060111	-2.9999938	0.0	0.0	0.0	439	tags=86%, list=5%, signal=90%	
EUKARYOTIC TRANSLATION INITIATION%REACTOME%R-HSA-72613.5	EUKARYOTIC TRANSLATION INITIATION%REACTOME%R-HSA-72613.5		108	-0.8738101	-2.9991012	0.0	0.0	0.0	478	tags=73%, list=6%, signal=77%	
CAP-DEPENDENT TRANSLATION INITIATION%REACTOME%R-HSA-72737.4	CAP-DEPENDENT TRANSLATION INITIATION%REACTOME%R-HSA-72737.4		108	-0.8738101	-2.9901874	0.0	0.0	0.0	478	tags=73%, list=6%, signal=77%	
PROTEIN SYNTHESIS: GLYCINE%PATHWHIZ%PW112928	PROTEIN SYNTHESIS: GLYCINE%PATHWHIZ%PW112928		73	-0.9274566	-2.9896812	0.0	0.0	0.0	439	tags=92%, list=5%, signal=96%	
PROTEIN SYNTHESIS: TYROSINE%PATHWHIZ%PW120527	PROTEIN SYNTHESIS: TYROSINE%PATHWHIZ%PW120527		73	-0.9274566	-2.9878538	0.0	0.0	0.0	439	tags=92%, list=5%, signal=96%	
PROTEIN SYNTHESIS: ALANINE%PATHWHIZ%PW101384	PROTEIN SYNTHESIS: ALANINE%PATHWHIZ%PW101384		73	-0.9274566	-2.9844198	0.0	0.0	0.0	439	tags=92%, list=5%, signal=96%	
EUKARYOTIC TRANSLATION TERMINATION%REACTOME%R-HSA-72764.6	EUKARYOTIC TRANSLATION TERMINATION%REACTOME%R-HSA-72764.6		81	-0.90128446	-2.9835863	0.0	0.0	0.0	439	tags=84%, list=5%, signal=88%	
EUKARYOTIC TRANSLATION ELONGATION%REACTOME%R-HSA-156842.4	EUKARYOTIC TRANSLATION ELONGATION%REACTOME%R-HSA-156842.4		82	-0.90963703	-2.9735982	0.0	0.0	0.0	439	tags=85%, list=5%, signal=89%	
REGULATION OF EXPRESSION OF SLITS AND ROBOS%REACTOME DATABASE ID RELEASE 81%9010553	REGULATION OF EXPRESSION OF SLITS AND ROBOS%REACTOME DATABASE ID RELEASE 81%9010553		135	-0.8285453	-2.9735653	0.0	0.0	0.0	742	tags=65%, list=9%, signal=70%	
PROTEIN SYNTHESIS: LEUCINE%SMPDB%SMP0111873	PROTEIN SYNTHESIS: LEUCINE%SMPDB%SMP0111873		73	-0.9274566	-2.9717658	0.0	0.0	0.0	439	tags=92%, list=5%, signal=96%	
CYTOPLASMIC TRANSLATION%GOBP%GO:0002181	CYTOPLASMIC TRANSLATION%GOBP%GO:0002181		115	-0.8533201	-2.967932	0.0	0.0	0.0	791	tags=77%, list=10%, signal=84%	
NONSENSE-MEDIATED DECAY (NMD)%REACTOME%R-HSA-927802.4	NONSENSE-MEDIATED DECAY (NMD)%REACTOME%R-HSA-927802.4		101	-0.8493977	-2.9648108	0.0	0.0	0.0	439	tags=68%, list=5%, signal=71%	
NONSENSE MEDIATED DECAY (NMD) INDEPENDENT OF THE EXON JUNCTION COMPLEX (EJC)%REACTOME DATABASE ID RELEASE 81%975956	NONSENSE MEDIATED DECAY (NMD) INDEPENDENT OF THE EXON JUNCTION COMPLEX (EJC)%REACTOME DATABASE ID RELEASE 81%975956		84	-0.885839	-2.9630654	0.0	0.0	0.0	439	tags=81%, list=5%, signal=85%	
TRANSLATION%REACTOME%R-HSA-72766.6	TRANSLATION%REACTOME%R-HSA-72766.6		231	-0.77606696	-2.9530942	0.0	0.0	0.0	977	tags=58%, list=12%, signal=64%	
CELLULAR RESPONSE TO STARVATION%REACTOME%R-HSA-9711097.4	CELLULAR RESPONSE TO STARVATION%REACTOME%R-HSA-9711097.4		124	-0.84460086	-2.9495409	0.0	0.0	0.0	439	tags=57%, list=5%, signal=60%	
INFLUENZA VIRAL RNA TRANSCRIPTION AND REPLICATION%REACTOME DATABASE ID RELEASE 81%168273	INFLUENZA VIRAL RNA TRANSCRIPTION AND REPLICATION%REACTOME DATABASE ID RELEASE 81%168273		119	-0.83692604	-2.9390287	0.0	0.0	0.0	649	tags=64%, list=8%, signal=68%	
MAJOR PATHWAY OF RRNA PROCESSING IN THE NUCLEOLUS AND CYTOSOL%REACTOME%R-HSA-6791226.5	MAJOR PATHWAY OF RRNA PROCESSING IN THE NUCLEOLUS AND CYTOSOL%REACTOME%R-HSA-6791226.5		148	-0.8126392	-2.9131725	0.0	0.0	0.0	792	tags=59%, list=10%, signal=64%	
NONSENSE MEDIATED DECAY (NMD) ENHANCED BY THE EXON JUNCTION COMPLEX (EJC)%REACTOME DATABASE ID RELEASE 81%975957	NONSENSE MEDIATED DECAY (NMD) ENHANCED BY THE EXON JUNCTION COMPLEX (EJC)%REACTOME DATABASE ID RELEASE 81%975957		101	-0.8493977	-2.8866522	0.0	0.0	0.0	439	tags=68%, list=5%, signal=71%	
RRNA PROCESSING IN THE NUCLEUS AND CYTOSOL%REACTOME DATABASE ID RELEASE 81%8868773	RRNA PROCESSING IN THE NUCLEUS AND CYTOSOL%REACTOME DATABASE ID RELEASE 81%8868773		157	-0.79455584	-2.8818789	0.0	0.0	0.0	808	tags=57%, list=10%, signal=62%	
RRNA PROCESSING%REACTOME DATABASE ID RELEASE 81%72312	RRNA PROCESSING%REACTOME DATABASE ID RELEASE 81%72312		162	-0.78624094	-2.871804	0.0	0.0	0.0	808	tags=55%, list=10%, signal=60%	
INFLUENZA INFECTION%REACTOME DATABASE ID RELEASE 81%168255	INFLUENZA INFECTION%REACTOME DATABASE ID RELEASE 81%168255		135	-0.810743	-2.8711157	0.0	0.0	0.0	649	tags=59%, list=8%, signal=63%	
TRANSLATION%GOBP%GO:0006412	TRANSLATION%GOBP%GO:0006412		256	-0.72049063	-2.824626	0.0	0.0	0.0	979	tags=49%, list=12%, signal=54%	
AMINO ACID AND DERIVATIVE METABOLISM%REACTOME%R-HSA-71291.8	AMINO ACID AND DERIVATIVE METABOLISM%REACTOME%R-HSA-71291.8		209	-0.71938455	-2.6827512	0.0	0.0	0.0	742	tags=43%, list=9%, signal=46%	
PEPTIDE BIOSYNTHETIC PROCESS%GOBP%GO:0043043	PEPTIDE BIOSYNTHETIC PROCESS%GOBP%GO:0043043		264	-0.68836594	-2.666612	0.0	0.0	0.0	979	tags=48%, list=12%, signal=52%	
SIGNALING BY ROBO RECEPTORS%REACTOME DATABASE ID RELEASE 81%376176	SIGNALING BY ROBO RECEPTORS%REACTOME DATABASE ID RELEASE 81%376176		157	-0.7334046	-2.6299906	0.0	0.0	0.0	742	tags=56%, list=9%, signal=60%	
SARS-COV-2 MODULATES HOST TRANSLATION MACHINERY%REACTOME DATABASE ID RELEASE 81%9754678	SARS-COV-2 MODULATES HOST TRANSLATION MACHINERY%REACTOME DATABASE ID RELEASE 81%9754678		41	-0.88809717	-2.6282086	0.0	0.0	0.0	479	tags=78%, list=6%, signal=82%	
RIBOSOME BIOGENESIS%GOBP%GO:0042254	RIBOSOME BIOGENESIS%GOBP%GO:0042254		188	-0.7051135	-2.6154985	0.0	0.0	0.0	1581	tags=59%, list=19%, signal=71%	
RIBOSOMAL SCANNING AND START CODON RECOGNITION%REACTOME DATABASE ID RELEASE 81%72702	RIBOSOMAL SCANNING AND START CODON RECOGNITION%REACTOME DATABASE ID RELEASE 81%72702		54	-0.8429043	-2.5883837	0.0	0.0	0.0	649	tags=70%, list=8%, signal=76%	
TRANSLATION INITIATION COMPLEX FORMATION%REACTOME%R-HSA-72649.4	TRANSLATION INITIATION COMPLEX FORMATION%REACTOME%R-HSA-72649.4		54	-0.8418828	-2.5825036	0.0	0.0	0.0	649	tags=70%, list=8%, signal=76%	
FORMATION OF THE TERNARY COMPLEX, AND SUBSEQUENTLY, THE 43S COMPLEX%REACTOME%R-HSA-72695.4	FORMATION OF THE TERNARY COMPLEX, AND SUBSEQUENTLY, THE 43S COMPLEX%REACTOME%R-HSA-72695.4		48	-0.85780495	-2.580689	0.0	0.0	0.0	649	tags=77%, list=8%, signal=83%	
ACTIVATION OF THE MRNA UPON BINDING OF THE CAP-BINDING COMPLEX AND EIFS, AND SUBSEQUENT BINDING TO 43S%REACTOME DATABASE ID RELEASE 81%72662	ACTIVATION OF THE MRNA UPON BINDING OF THE CAP-BINDING COMPLEX AND EIFS, AND SUBSEQUENT BINDING TO 43S%REACTOME DATABASE ID RELEASE 81%72662		55	-0.84056926	-2.5634365	0.0	0.0	0.0	649	tags=69%, list=8%, signal=75%	
AMIDE BIOSYNTHETIC PROCESS%GOBP%GO:0043604	AMIDE BIOSYNTHETIC PROCESS%GOBP%GO:0043604		318	-0.6425893	-2.5371559	0.0	0.0	0.0	979	tags=41%, list=12%, signal=44%	
RIBONUCLEOPROTEIN COMPLEX BIOGENESIS%GOBP%GO:0022613	RIBONUCLEOPROTEIN COMPLEX BIOGENESIS%GOBP%GO:0022613		306	-0.6332582	-2.482636	0.0	0.0	0.0	1581	tags=53%, list=19%, signal=63%	
RRNA METABOLIC PROCESS%GOBP%GO:0016072	RRNA METABOLIC PROCESS%GOBP%GO:0016072		146	-0.67440146	-2.4547741	0.0	0.0	0.0	1571	tags=52%, list=19%, signal=63%	
RRNA PROCESSING%GOBP%GO:0006364	RRNA PROCESSING%GOBP%GO:0006364		126	-0.6917308	-2.4500337	0.0	0.0	0.0	1571	tags=57%, list=19%, signal=70%	
SARS-COV-1 MODULATES HOST TRANSLATION MACHINERY%REACTOME DATABASE ID RELEASE 81%9735869	SARS-COV-1 MODULATES HOST TRANSLATION MACHINERY%REACTOME DATABASE ID RELEASE 81%9735869		33	-0.89061606	-2.4434192	0.0	0.0	0.0	172	tags=76%, list=2%, signal=77%	
SARS-COV-1-HOST INTERACTIONS%REACTOME DATABASE ID RELEASE 81%9692914	SARS-COV-1-HOST INTERACTIONS%REACTOME DATABASE ID RELEASE 81%9692914		81	-0.7281721	-2.4221292	0.0	0.0	0.0	547	tags=43%, list=7%, signal=46%	
RIBOSOMAL SMALL SUBUNIT BIOGENESIS%GOBP%GO:0042274	RIBOSOMAL SMALL SUBUNIT BIOGENESIS%GOBP%GO:0042274		80	-0.71958584	-2.3901548	0.0	0.0	0.0	1571	tags=65%, list=19%, signal=80%	
PEPTIDE METABOLIC PROCESS%GOBP%GO:0006518	PEPTIDE METABOLIC PROCESS%GOBP%GO:0006518		329	-0.6048787	-2.3578613	0.0	0.0	0.0	979	tags=40%, list=12%, signal=44%	
MITOCHONDRIAL TRANSLATION ELONGATION%REACTOME DATABASE ID RELEASE 81%5389840	MITOCHONDRIAL TRANSLATION ELONGATION%REACTOME DATABASE ID RELEASE 81%5389840		70	-0.6974443	-2.266296	0.0	0.0	0.0	1923	tags=71%, list=23%, signal=93%	
MITOCHONDRIAL TRANSLATION%REACTOME DATABASE ID RELEASE 81%5368287	MITOCHONDRIAL TRANSLATION%REACTOME DATABASE ID RELEASE 81%5368287		76	-0.6771995	-2.2363024	0.0	0.0	0.0	1923	tags=68%, list=23%, signal=89%	
RIBOSOMAL LARGE SUBUNIT BIOGENESIS%GOBP%GO:0042273	RIBOSOMAL LARGE SUBUNIT BIOGENESIS%GOBP%GO:0042273		47	-0.74019635	-2.2334647	0.0	0.0	0.0	1629	tags=74%, list=20%, signal=92%	
MITOCHONDRIAL TRANSLATION%GOBP%GO:0032543	MITOCHONDRIAL TRANSLATION%GOBP%GO:0032543		80	-0.66735804	-2.2114713	0.0	0.0	0.0	1923	tags=68%, list=23%, signal=87%	
MITOCHONDRIAL TRANSLATION INITIATION%REACTOME%R-HSA-5368286.3	MITOCHONDRIAL TRANSLATION INITIATION%REACTOME%R-HSA-5368286.3		70	-0.6953754	-2.211218	0.0	0.0	0.0	1546	tags=63%, list=19%, signal=77%	
STABILIZATION OF P53%REACTOME DATABASE ID RELEASE 81%69541	STABILIZATION OF P53%REACTOME DATABASE ID RELEASE 81%69541		47	-0.71925473	-2.204078	0.0	0.0	0.0	1422	tags=62%, list=17%, signal=74%	
AEROBIC RESPIRATION I (CYTOCHROME C)%BIOCYC%PWY-3781	AEROBIC RESPIRATION I (CYTOCHROME C)%BIOCYC%PWY-3781		51	-0.71689445	-2.1899307	0.0	0.0	0.0	1462	tags=53%, list=18%, signal=64%	
RIBOSOME ASSEMBLY%GOBP%GO:0042255	RIBOSOME ASSEMBLY%GOBP%GO:0042255		35	-0.7718787	-2.1864152	0.0	0.0	0.0	828	tags=54%, list=10%, signal=60%	
AMIDE METABOLIC PROCESS%GOBP%GO:0043603	AMIDE METABOLIC PROCESS%GOBP%GO:0043603		441	-0.5464783	-2.1782997	0.0	0.0	0.0	1300	tags=37%, list=16%, signal=41%	
RESPIRATORY ELECTRON TRANSPORT%REACTOME%R-HSA-611105.6	RESPIRATORY ELECTRON TRANSPORT%REACTOME%R-HSA-611105.6		80	-0.6548264	-2.1768034	0.0	0.0	0.0	1503	tags=46%, list=18%, signal=56%	
NCRNA PROCESSING%GOBP%GO:0034470	NCRNA PROCESSING%GOBP%GO:0034470		237	-0.56127363	-2.170915	0.0	0.0	0.0	1888	tags=47%, list=23%, signal=59%	
OXIDATIVE PHOSPHORYLATION%GOBP%GO:0006119	OXIDATIVE PHOSPHORYLATION%GOBP%GO:0006119		56	-0.6894495	-2.1609807	0.0	0.0	0.0	1462	tags=50%, list=18%, signal=60%	
RESPIRATORY ELECTRON TRANSPORT, ATP SYNTHESIS BY CHEMIOSMOTIC COUPLING, AND HEAT PRODUCTION BY UNCOUPLING PROTEINS.%REACTOME DATABASE ID RELEASE 81%163200	RESPIRATORY ELECTRON TRANSPORT, ATP SYNTHESIS BY CHEMIOSMOTIC COUPLING, AND HEAT PRODUCTION BY UNCOUPLING PROTEINS.%REACTOME DATABASE ID RELEASE 81%163200		81	-0.6505746	-2.1413124	0.0	1.1437568E-5	0.001	1503	tags=46%, list=18%, signal=55%	
MITOCHONDRIAL TRANSLATION TERMINATION%REACTOME%R-HSA-5419276.3	MITOCHONDRIAL TRANSLATION TERMINATION%REACTOME%R-HSA-5419276.3		70	-0.6715644	-2.1405387	0.0	1.1290933E-5	0.001	1546	tags=60%, list=19%, signal=73%	
ATP SYNTHESIS COUPLED ELECTRON TRANSPORT%GOBP%GO:0042773	ATP SYNTHESIS COUPLED ELECTRON TRANSPORT%GOBP%GO:0042773		54	-0.68618625	-2.1350076	0.0	1.1148009E-5	0.001	1462	tags=50%, list=18%, signal=60%	
IMMUNOREGULATORY INTERACTIONS BETWEEN A LYMPHOID AND A NON-LYMPHOID CELL%REACTOME%R-HSA-198933.9	IMMUNOREGULATORY INTERACTIONS BETWEEN A LYMPHOID AND A NON-LYMPHOID CELL%REACTOME%R-HSA-198933.9		68	-0.66544807	-2.132135	0.0	1.1008659E-5	0.001	1739	tags=63%, list=21%, signal=80%	
SARS-COV-1 INFECTION%REACTOME%R-HSA-9678108.8	SARS-COV-1 INFECTION%REACTOME%R-HSA-9678108.8		117	-0.5974687	-2.1259108	0.0	1.087275E-5	0.001	1201	tags=43%, list=15%, signal=49%	
NCRNA METABOLIC PROCESS%GOBP%GO:0034660	NCRNA METABOLIC PROCESS%GOBP%GO:0034660		297	-0.53714246	-2.1110513	0.0	1.0740156E-5	0.001	1888	tags=42%, list=23%, signal=53%	
P53-DEPENDENT G1 S DNA DAMAGE CHECKPOINT%REACTOME%R-HSA-69580.5	P53-DEPENDENT G1 S DNA DAMAGE CHECKPOINT%REACTOME%R-HSA-69580.5		50	-0.6898998	-2.1087718	0.0	1.0610756E-5	0.001	1422	tags=58%, list=17%, signal=70%	
AUTODEGRADATION OF THE E3 UBIQUITIN LIGASE COP1%REACTOME DATABASE ID RELEASE 81%349425	AUTODEGRADATION OF THE E3 UBIQUITIN LIGASE COP1%REACTOME DATABASE ID RELEASE 81%349425		43	-0.71560043	-2.1087122	0.0	1.0484438E-5	0.001	1422	tags=63%, list=17%, signal=76%	
CDC20:PHOSPHO-APC C MEDIATED DEGRADATION OF CYCLIN A%REACTOME%R-HSA-174184.3	CDC20:PHOSPHO-APC C MEDIATED DEGRADATION OF CYCLIN A%REACTOME%R-HSA-174184.3		58	-0.6719049	-2.106021	0.0	1.0361091E-5	0.001	1422	tags=53%, list=17%, signal=64%	
MITOCHONDRIAL GENE EXPRESSION%GOBP%GO:0140053	MITOCHONDRIAL GENE EXPRESSION%GOBP%GO:0140053		99	-0.6148159	-2.0998197	0.0	1.0240614E-5	0.001	2263	tags=72%, list=28%, signal=98%	
DEGRADATION OF GLI1 BY THE PROTEASOME%REACTOME DATABASE ID RELEASE 81%5610780	DEGRADATION OF GLI1 BY THE PROTEASOME%REACTOME DATABASE ID RELEASE 81%5610780		50	-0.6854752	-2.099235	0.0	1.0122905E-5	0.001	1422	tags=52%, list=17%, signal=63%	
ELECTRON TRANSPORT CHAIN OXPHOS SYSTEM IN MITOCHONDRIA%WIKIPATHWAYS_20240310%WP111%HOMO SAPIENS	ELECTRON TRANSPORT CHAIN OXPHOS SYSTEM IN MITOCHONDRIA%WIKIPATHWAYS_20240310%WP111%HOMO SAPIENS		51	-0.68441033	-2.0976589	0.0	1.0007872E-5	0.001	1539	tags=49%, list=19%, signal=60%	
APC C:CDC20 MEDIATED DEGRADATION OF SECURIN%REACTOME%R-HSA-174154.4	APC C:CDC20 MEDIATED DEGRADATION OF SECURIN%REACTOME%R-HSA-174154.4		57	-0.6629699	-2.0875459	0.0	9.895424E-6	0.001	1422	tags=53%, list=17%, signal=63%	
RNA PROCESSING%GOBP%GO:0006396	RNA PROCESSING%GOBP%GO:0006396		495	-0.5154365	-2.087158	0.0	9.785475E-6	0.001	1833	tags=43%, list=22%, signal=52%	
DEGRADATION OF AXIN%REACTOME DATABASE ID RELEASE 81%4641257	DEGRADATION OF AXIN%REACTOME DATABASE ID RELEASE 81%4641257		45	-0.69725037	-2.085119	0.0	9.677943E-6	0.001	1422	tags=58%, list=17%, signal=70%	
DOWNSTREAM TCR SIGNALING%REACTOME%R-HSA-202424.6	DOWNSTREAM TCR SIGNALING%REACTOME%R-HSA-202424.6		81	-0.62164426	-2.0848007	0.0	9.572747E-6	0.001	1202	tags=46%, list=15%, signal=53%	
VPU MEDIATED DEGRADATION OF CD4%REACTOME%R-HSA-180534.3	VPU MEDIATED DEGRADATION OF CD4%REACTOME%R-HSA-180534.3		44	-0.7001714	-2.0779107	0.0	9.469814E-6	0.001	1422	tags=61%, list=17%, signal=74%	
REGULATION OF ACTIVATED PAK-2P34 BY PROTEASOME MEDIATED DEGRADATION%REACTOME DATABASE ID RELEASE 81%211733	REGULATION OF ACTIVATED PAK-2P34 BY PROTEASOME MEDIATED DEGRADATION%REACTOME DATABASE ID RELEASE 81%211733		42	-0.70334363	-2.076298	0.0	9.369071E-6	0.001	1422	tags=62%, list=17%, signal=75%	
G1 S DNA DAMAGE CHECKPOINTS%REACTOME%R-HSA-69615.4	G1 S DNA DAMAGE CHECKPOINTS%REACTOME%R-HSA-69615.4		50	-0.6898998	-2.0747614	0.0	9.27045E-6	0.001	1422	tags=58%, list=17%, signal=70%	
FBXL7 DOWN-REGULATES AURKA DURING MITOTIC ENTRY AND IN EARLY MITOSIS%REACTOME%R-HSA-8854050.4	FBXL7 DOWN-REGULATES AURKA DURING MITOTIC ENTRY AND IN EARLY MITOSIS%REACTOME%R-HSA-8854050.4		45	-0.7003869	-2.0740287	0.0	9.173883E-6	0.001	1422	tags=58%, list=17%, signal=70%	
VIF-MEDIATED DEGRADATION OF APOBEC3G%REACTOME%R-HSA-180585.3	VIF-MEDIATED DEGRADATION OF APOBEC3G%REACTOME%R-HSA-180585.3		43	-0.70742995	-2.0681703	0.0	9.079306E-6	0.001	1422	tags=60%, list=17%, signal=73%	
APC:CDC20 MEDIATED DEGRADATION OF CELL CYCLE PROTEINS PRIOR TO SATISFATION OF THE CELL CYCLE CHECKPOINT%REACTOME%R-HSA-179419.4	APC:CDC20 MEDIATED DEGRADATION OF CELL CYCLE PROTEINS PRIOR TO SATISFATION OF THE CELL CYCLE CHECKPOINT%REACTOME%R-HSA-179419.4		58	-0.6719049	-2.0678973	0.0	8.986661E-6	0.001	1422	tags=53%, list=17%, signal=64%	
DNA REPLICATION PRE-INITIATION%REACTOME DATABASE ID RELEASE 81%69002	DNA REPLICATION PRE-INITIATION%REACTOME DATABASE ID RELEASE 81%69002		80	-0.6070635	-2.0662386	0.0	1.8185028E-5	0.002	1457	tags=46%, list=18%, signal=56%	
MITOCHONDRIAL ATP SYNTHESIS COUPLED ELECTRON TRANSPORT%GOBP%GO:0042775	MITOCHONDRIAL ATP SYNTHESIS COUPLED ELECTRON TRANSPORT%GOBP%GO:0042775		54	-0.68618625	-2.066222	0.0	1.8003177E-5	0.002	1462	tags=50%, list=18%, signal=60%	
